Random seed set to: 456

Demands:
D(m1, t=1, ('l1', 'k1')) = 7.5
Sub Cost: 901250.59, Total UB: 904230.20
Added optimality cut: opt_cut_71

Iteration 72: Solving Master...
Master LB: 903746.85
Fixed y: {'m1': 1.0, 'm9': 1.0, 'm10': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901257.71, Total UB: 904230.20
Added optimality cut: opt_cut_72

Iteration 73: Solving Master...
Master LB: 903747.32
Fixed y: {'m1': 1.0, 'm7': 1.0, 'm10': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901260.81, Total UB: 904230.20
Added optimality cut: opt_cut_73

Iteration 74: Solving Master...
Master LB: 903747.32
Fixed y: {'m1': 1.0, 'm5': 1.0, 'm7': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901251.55, Total UB: 904230.20
Added optimality cut: opt_cut_74

Iteration 75: Solving Master...
Master LB: 903748.48
Fixed y: {'m3': 1.0, 'm5': 1.0, 'm10': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901252.71, Total UB: 904230.20
Added optimality cut: opt_cut_75

Iteration 76: Solving Master...
Master LB: 903748.94
Fixed y: {'m3': 1.0, 'm7': 1.0, 'm9': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901259.80, Total UB: 904230.20
Added optimality cut: opt_cut_76

Iteration 77: Solving Master...
Master LB: 903748.94
Fixed y: {'m3': 1.0, 'm7': 1.0, 'm10': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901262.43, Total UB: 904230.20
Added optimality cut: opt_cut_77

Iteration 78: Solving Master...
Master LB: 903749.00
Fixed y: {'m4': 1.0, 'm9': 1.0, 'm10': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901259.85, Total UB: 904230.20
Added optimality cut: opt_cut_78

Iteration 79: Solving Master...
Master LB: 903749.28
Fixed y: {'m1': 1.0, 'm6': 1.0, 'm9': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901260.14, Total UB: 904230.20
Added optimality cut: opt_cut_79

Iteration 80: Solving Master...
Master LB: 903749.28
Fixed y: {'m1': 1.0, 'm6': 1.0, 'm7': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901263.24, Total UB: 904230.20
Added optimality cut: opt_cut_80

Iteration 81: Solving Master...
Master LB: 903749.28
Fixed y: {'m1': 1.0, 'm6': 1.0, 'm10': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901262.77, Total UB: 904230.20
Added optimality cut: opt_cut_81

Iteration 82: Solving Master...
Master LB: 903749.46
Fixed y: {'m4': 1.0, 'm7': 1.0, 'm9': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901260.31, Total UB: 904230.20
Added optimality cut: opt_cut_82

Iteration 83: Solving Master...
Master LB: 903750.91
Fixed y: {'m3': 1.0, 'm6': 1.0, 'm9': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901261.76, Total UB: 904230.20
Added optimality cut: opt_cut_83

Iteration 84: Solving Master...
Master LB: 903750.91
Fixed y: {'m3': 1.0, 'm6': 1.0, 'm10': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901264.40, Total UB: 904230.20
Added optimality cut: opt_cut_84

Iteration 85: Solving Master...
Master LB: 903750.91
Fixed y: {'m3': 1.0, 'm6': 1.0, 'm7': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901264.86, Total UB: 904230.20
Added optimality cut: opt_cut_85

Iteration 86: Solving Master...
Master LB: 903751.42
Fixed y: {'m4': 1.0, 'm6': 1.0, 'm9': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901262.28, Total UB: 904230.20
Added optimality cut: opt_cut_86

Iteration 87: Solving Master...
Master LB: 903751.42
Fixed y: {'m4': 1.0, 'm6': 1.0, 'm10': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901264.91, Total UB: 904230.20
Added optimality cut: opt_cut_87

Iteration 88: Solving Master...
Master LB: 903751.42
Fixed y: {'m4': 1.0, 'm5': 1.0, 'm6': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901255.65, Total UB: 904230.20
Added optimality cut: opt_cut_88

Iteration 89: Solving Master...
Master LB: 903751.42
Fixed y: {'m4': 1.0, 'm6': 1.0, 'm7': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901265.38, Total UB: 904230.20
Added optimality cut: opt_cut_89

Iteration 90: Solving Master...
Master LB: 903753.24
Fixed y: {'m1': 1.0, 'm3': 1.0, 'm10': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901266.73, Total UB: 904230.20
Added optimality cut: opt_cut_90

Iteration 91: Solving Master...
Master LB: 903753.24
Fixed y: {'m1': 1.0, 'm3': 1.0, 'm9': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901264.10, Total UB: 904230.20
Added optimality cut: opt_cut_91

Iteration 92: Solving Master...
Master LB: 903753.24
Fixed y: {'m1': 1.0, 'm3': 1.0, 'm7': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901267.20, Total UB: 904230.20
Added optimality cut: opt_cut_92

Iteration 93: Solving Master...
Master LB: 903753.76
Fixed y: {'m1': 1.0, 'm4': 1.0, 'm10': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901267.25, Total UB: 904230.20
Added optimality cut: opt_cut_93

Iteration 94: Solving Master...
Master LB: 903753.76
Fixed y: {'m1': 1.0, 'm4': 1.0, 'm5': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901257.99, Total UB: 904230.20
Added optimality cut: opt_cut_94

Iteration 95: Solving Master...
Master LB: 903753.76
Fixed y: {'m1': 1.0, 'm4': 1.0, 'm9': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901264.61, Total UB: 904230.20
Added optimality cut: opt_cut_95

Iteration 96: Solving Master...
Master LB: 903753.76
Fixed y: {'m1': 1.0, 'm4': 1.0, 'm6': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901269.68, Total UB: 904230.20
Added optimality cut: opt_cut_96

Iteration 97: Solving Master...
Master LB: 903753.76
Fixed y: {'m1': 1.0, 'm4': 1.0, 'm7': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901267.71, Total UB: 904230.20
Added optimality cut: opt_cut_97

Iteration 98: Solving Master...
Master LB: 903755.38
Fixed y: {'m3': 1.0, 'm4': 1.0, 'm9': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901266.24, Total UB: 904230.20
Added optimality cut: opt_cut_98

Iteration 99: Solving Master...
Master LB: 903755.38
Fixed y: {'m1': 1.0, 'm3': 1.0, 'm4': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901273.64, Total UB: 904230.20
Added optimality cut: opt_cut_99

Iteration 100: Solving Master...
Master LB: 903755.38
Fixed y: {'m3': 1.0, 'm4': 1.0, 'm10': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901268.87, Total UB: 904230.20
Added optimality cut: opt_cut_100

Converged after 100 iterations. Final UB: 904230.19791554
Objective Value: 904230.19791554

CSAM Deployments:
y[m5, 'l1'] = 1
y[m8, 'l1'] = 1
y[m9, 'l1'] = 1

Positive CSAM l1 flows (q_l1 to r_l1):
Arc (m5_q_l1 -> m5_r_l1), t=1, commodity=('l1', 'k1'): flow=12.2
Arc (m5_q_l1 -> m5_r_l1), t=1, commodity=('l1', 'k2'): flow=10.4
Arc (m5_q_l1 -> m5_r_l1), t=1, commodity=('l1', 'k3'): flow=14.8
Arc (m5_q_l1 -> m5_r_l1), t=1, commodity=('l1', 'k4'): flow=12.6
Arc (m5_q_l1 -> m5_r_l1), t=2, commodity=('l1', 'k1'): flow=13.0
Arc (m5_q_l1 -> m5_r_l1), t=2, commodity=('l1', 'k2'): flow=14.2
Arc (m5_q_l1 -> m5_r_l1), t=2, commodity=('l1', 'k3'): flow=13.7
Arc (m5_q_l1 -> m5_r_l1), t=2, commodity=('l1', 'k4'): flow=9.1
Arc (m8_q_l1 -> m8_r_l1), t=1, commodity=('l1', 'k1'): flow=12.1
Arc (m8_q_l1 -> m8_r_l1), t=1, commodity=('l1', 'k2'): flow=7.1
Arc (m8_q_l1 -> m8_r_l1), t=1, commodity=('l1', 'k3'): flow=7.9
Arc (m8_q_l1 -> m8_r_l1), t=1, commodity=('l1', 'k4'): flow=13.3
Arc (m8_q_l1 -> m8_r_l1), t=1, commodity=('l1', 'k5'): flow=9.6
Arc (m8_q_l1 -> m8_r_l1), t=2, commodity=('l1', 'k1'): flow=5.1
Arc (m8_q_l1 -> m8_r_l1), t=2, commodity=('l1', 'k2'): flow=14.9
Arc (m8_q_l1 -> m8_r_l1), t=2, commodity=('l1', 'k3'): flow=7.8
Arc (m8_q_l1 -> m8_r_l1), t=2, commodity=('l1', 'k4'): flow=11.8
Arc (m8_q_l1 -> m8_r_l1), t=2, commodity=('l1', 'k5'): flow=10.5
Arc (m9_q_l1 -> m9_r_l1), t=1, commodity=('l1', 'k1'): flow=6.1
Arc (m9_q_l1 -> m9_r_l1), t=1, commodity=('l1', 'k2'): flow=9.5
Arc (m9_q_l1 -> m9_r_l1), t=1, commodity=('l1', 'k3'): flow=7.8
Arc (m9_q_l1 -> m9_r_l1), t=1, commodity=('l1', 'k4'): flow=7.1
Arc (m9_q_l1 -> m9_r_l1), t=1, commodity=('l1', 'k5'): flow=19.5
Arc (m9_q_l1 -> m9_r_l1), t=2, commodity=('l1', 'k1'): flow=11.2
Arc (m9_q_l1 -> m9_r_l1), t=2, commodity=('l1', 'k2'): flow=6.6
Arc (m9_q_l1 -> m9_r_l1), t=2, commodity=('l1', 'k3'): flow=14.3
Arc (m9_q_l1 -> m9_r_l1), t=2, commodity=('l1', 'k4'): flow=7.3
Arc (m9_q_l1 -> m9_r_l1), t=2, commodity=('l1', 'k5'): flow=10.6

Positive traditional l2 flows (q_l2 to r_l2):

For k=k1 at m1:
Arc (m1_q_l2 -> m1_r_l2), t=1, commodity=('l1', 'k1'): flow=9.2 (jumping if 'l1')
Arc (m1_q_l2 -> m1_r_l2), t=1, commodity=('l2', 'k1'): flow=90.8
Arc (m1_q_l2 -> m1_r_l2), t=2, commodity=('l1', 'k1'): flow=90.3 (jumping if 'l1')
Arc (m1_q_l2 -> m1_r_l2), t=2, commodity=('l2', 'k1'): flow=9.7

For k=k2 at m2:
Arc (m2_q_l2 -> m2_r_l2), t=1, commodity=('l2', 'k2'): flow=100.0
Arc (m2_q_l2 -> m2_r_l2), t=2, commodity=('l1', 'k2'): flow=92.1 (jumping if 'l1')
Arc (m2_q_l2 -> m2_r_l2), t=2, commodity=('l2', 'k2'): flow=7.9

For k=k3 at m3:
Arc (m3_q_l2 -> m3_r_l2), t=1, commodity=('l1', 'k3'): flow=73.0 (jumping if 'l1')
Arc (m3_q_l2 -> m3_r_l2), t=1, commodity=('l2', 'k3'): flow=27.0
Arc (m3_q_l2 -> m3_r_l2), t=2, commodity=('l1', 'k3'): flow=6.0 (jumping if 'l1')
Arc (m3_q_l2 -> m3_r_l2), t=2, commodity=('l2', 'k3'): flow=94.0

For k=k4 at m4:
Arc (m4_q_l2 -> m4_r_l2), t=1, commodity=('l1', 'k4'): flow=62.2 (jumping if 'l1')
Arc (m4_q_l2 -> m4_r_l2), t=1, commodity=('l2', 'k4'): flow=37.8
Arc (m4_q_l2 -> m4_r_l2), t=2, commodity=('l1', 'k4'): flow=12.2 (jumping if 'l1')
Arc (m4_q_l2 -> m4_r_l2), t=2, commodity=('l2', 'k4'): flow=87.8

For k=k5 at m5:
Arc (m5_q_l2 -> m5_r_l2), t=1, commodity=('l2', 'k5'): flow=100.0
Arc (m5_q_l2 -> m5_r_l2), t=2, commodity=('l1', 'k5'): flow=84.1 (jumping if 'l1')
Arc (m5_q_l2 -> m5_r_l2), t=2, commodity=('l2', 'k5'): flow=15.9

Positive inter-facility travel flows (in-to-in):
Arc (m1_in -> m2_in), t=1, commodity=('l1', 'k2'): flow=6.6
Arc (m1_in -> m2_in), t=1, commodity=('l2', 'k2'): flow=5.6
Arc (m1_in -> m2_in), t=2, commodity=('l1', 'k2'): flow=8.9
Arc (m1_in -> m3_in), t=1, commodity=('l1', 'k3'): flow=12.8
Arc (m1_in -> m3_in), t=1, commodity=('l2', 'k3'): flow=12.6
Arc (m1_in -> m4_in), t=1, commodity=('l1', 'k4'): flow=13.1
Arc (m1_in -> m4_in), t=1, commodity=('l2', 'k4'): flow=6.8
Arc (m1_in -> m4_in), t=2, commodity=('l2', 'k4'): flow=10.3
Arc (m1_in -> m5_in), t=1, commodity=('l1', 'k5'): flow=11.3
Arc (m1_in -> m5_in), t=1, commodity=('l2', 'k5'): flow=6.5
Arc (m2_in -> m1_in), t=1, commodity=('l1', 'k1'): flow=6.8
Arc (m2_in -> m1_in), t=1, commodity=('l2', 'k1'): flow=6.5
Arc (m2_in -> m1_in), t=2, commodity=('l1', 'k1'): flow=7.1
Arc (m2_in -> m3_in), t=1, commodity=('l1', 'k3'): flow=7.4
Arc (m2_in -> m3_in), t=1, commodity=('l2', 'k3'): flow=13.6
Arc (m2_in -> m4_in), t=1, commodity=('l1', 'k4'): flow=5.1
Arc (m2_in -> m4_in), t=1, commodity=('l2', 'k4'): flow=7.0
Arc (m2_in -> m5_in), t=1, commodity=('l1', 'k5'): flow=8.6
Arc (m2_in -> m5_in), t=1, commodity=('l2', 'k5'): flow=6.3
Arc (m3_in -> m1_in), t=1, commodity=('l1', 'k1'): flow=10.6
Arc (m3_in -> m1_in), t=1, commodity=('l2', 'k1'): flow=10.9
Arc (m3_in -> m1_in), t=2, commodity=('l1', 'k1'): flow=5.1
Arc (m3_in -> m2_in), t=1, commodity=('l1', 'k2'): flow=14.4
Arc (m3_in -> m2_in), t=1, commodity=('l2', 'k2'): flow=5.4
Arc (m3_in -> m4_in), t=1, commodity=('l1', 'k4'): flow=14.0
Arc (m3_in -> m4_in), t=1, commodity=('l2', 'k4'): flow=8.7
Arc (m3_in -> m4_in), t=2, commodity=('l1', 'k4'): flow=6.3
Arc (m3_in -> m4_in), t=2, commodity=('l2', 'k4'): flow=14.8
Arc (m3_in -> m5_in), t=1, commodity=('l1', 'k5'): flow=6.8
Arc (m3_in -> m5_in), t=1, commodity=('l2', 'k5'): flow=13.0
Arc (m3_in -> m5_in), t=2, commodity=('l1', 'k5'): flow=10.0
Arc (m4_in -> m1_in), t=1, commodity=('l1', 'k1'): flow=10.2
Arc (m4_in -> m1_in), t=1, commodity=('l2', 'k1'): flow=5.9
Arc (m4_in -> m1_in), t=2, commodity=('l1', 'k1'): flow=11.1
Arc (m4_in -> m2_in), t=1, commodity=('l1', 'k2'): flow=6.2
Arc (m4_in -> m2_in), t=1, commodity=('l2', 'k2'): flow=9.8
Arc (m4_in -> m2_in), t=2, commodity=('l1', 'k2'): flow=1.5
Arc (m4_in -> m3_in), t=1, commodity=('l1', 'k3'): flow=8.3
Arc (m4_in -> m3_in), t=1, commodity=('l2', 'k3'): flow=13.4
Arc (m4_in -> m5_in), t=1, commodity=('l1', 'k5'): flow=2.8
Arc (m4_in -> m5_in), t=1, commodity=('l2', 'k5'): flow=5.5
Arc (m4_in -> m9_in), t=1, commodity=('l1', 'k5'): flow=10.9
Arc (m5_in -> m1_in), t=1, commodity=('l2', 'k1'): flow=10.4
Arc (m5_in -> m2_in), t=1, commodity=('l2', 'k2'): flow=11.8
Arc (m5_in -> m3_in), t=1, commodity=('l2', 'k3'): flow=12.4
Arc (m5_in -> m4_in), t=1, commodity=('l2', 'k4'): flow=11.3
Arc (m6_in -> m1_in), t=1, commodity=('l1', 'k1'): flow=5.3
Arc (m6_in -> m1_in), t=1, commodity=('l2', 'k1'): flow=7.6
Arc (m6_in -> m1_in), t=2, commodity=('l1', 'k1'): flow=6.5
Arc (m6_in -> m2_in), t=1, commodity=('l1', 'k2'): flow=10.8
Arc (m6_in -> m2_in), t=1, commodity=('l2', 'k2'): flow=8.2
Arc (m6_in -> m3_in), t=1, commodity=('l1', 'k3'): flow=13.8
Arc (m6_in -> m3_in), t=1, commodity=('l2', 'k3'): flow=12.5
Arc (m6_in -> m4_in), t=1, commodity=('l1', 'k4'): flow=6.7
Arc (m6_in -> m4_in), t=1, commodity=('l2', 'k4'): flow=5.8
Arc (m6_in -> m5_in), t=1, commodity=('l1', 'k2'): flow=0.6
Arc (m6_in -> m5_in), t=1, commodity=('l1', 'k5'): flow=7.3
Arc (m6_in -> m5_in), t=1, commodity=('l2', 'k5'): flow=14.9
Arc (m6_in -> m5_in), t=2, commodity=('l1', 'k5'): flow=7.9
Arc (m7_in -> m1_in), t=1, commodity=('l1', 'k1'): flow=9.2
Arc (m7_in -> m1_in), t=1, commodity=('l2', 'k1'): flow=12.5
Arc (m7_in -> m2_in), t=1, commodity=('l1', 'k2'): flow=10.7
Arc (m7_in -> m2_in), t=1, commodity=('l2', 'k2'): flow=14.7
Arc (m7_in -> m2_in), t=2, commodity=('l1', 'k2'): flow=2.2
Arc (m7_in -> m3_in), t=1, commodity=('l1', 'k3'): flow=12.0
Arc (m7_in -> m3_in), t=1, commodity=('l2', 'k3'): flow=3.9
Arc (m7_in -> m4_in), t=1, commodity=('l1', 'k4'): flow=5.3
Arc (m7_in -> m4_in), t=1, commodity=('l2', 'k4'): flow=14.4
Arc (m7_in -> m5_in), t=1, commodity=('l1', 'k5'): flow=5.1
Arc (m7_in -> m5_in), t=1, commodity=('l2', 'k5'): flow=10.9
Arc (m7_in -> m5_in), t=2, commodity=('l1', 'k2'): flow=3.7
Arc (m8_in -> m1_in), t=1, commodity=('l2', 'k1'): flow=5.7
Arc (m8_in -> m1_in), t=2, commodity=('l1', 'k1'): flow=3.6
Arc (m8_in -> m2_in), t=1, commodity=('l2', 'k2'): flow=13.6
Arc (m8_in -> m3_in), t=1, commodity=('l2', 'k3'): flow=9.2
Arc (m8_in -> m4_in), t=1, commodity=('l1', 'k4'): flow=0.2
Arc (m8_in -> m4_in), t=1, commodity=('l2', 'k4'): flow=10.2
Arc (m8_in -> m5_in), t=1, commodity=('l2', 'k5'): flow=11.5
Arc (m9_in -> m1_in), t=1, commodity=('l2', 'k1'): flow=13.0
Arc (m9_in -> m2_in), t=1, commodity=('l2', 'k2'): flow=5.9
Arc (m9_in -> m3_in), t=1, commodity=('l2', 'k3'): flow=11.6
Arc (m9_in -> m4_in), t=1, commodity=('l2', 'k4'): flow=7.2
Arc (m9_in -> m5_in), t=1, commodity=('l2', 'k5'): flow=9.6
Arc (m10_in -> m1_in), t=1, commodity=('l1', 'k1'): flow=6.7
Arc (m10_in -> m1_in), t=1, commodity=('l2', 'k1'): flow=7.3
Arc (m10_in -> m1_in), t=2, commodity=('l1', 'k1'): flow=0.4
Arc (m10_in -> m2_in), t=1, commodity=('l1', 'k2'): flow=9.9
Arc (m10_in -> m2_in), t=1, commodity=('l2', 'k2'): flow=14.5
Arc (m10_in -> m3_in), t=1, commodity=('l1', 'k3'): flow=12.1
Arc (m10_in -> m3_in), t=1, commodity=('l2', 'k3'): flow=8.4
Arc (m10_in -> m4_in), t=1, commodity=('l1', 'k4'): flow=10.2
Arc (m10_in -> m4_in), t=1, commodity=('l2', 'k4'): flow=11.8
Arc (m10_in -> m5_in), t=1, commodity=('l1', 'k5'): flow=7.2
Arc (m10_in -> m5_in), t=1, commodity=('l2', 'k5'): flow=12.3
Arc (m10_in -> m5_in), t=2, commodity=('l1', 'k5'): flow=5.5

Positive flows on dummy arcs (unmet demand in t=2):
Arc (m1_in -> dummy), t=2, commodity=('l1', 'k3'): flow=10.8
Arc (m1_in -> dummy), t=2, commodity=('l1', 'k4'): flow=6.5
Arc (m1_in -> dummy), t=2, commodity=('l1', 'k5'): flow=11.9
Arc (m1_in -> dummy), t=2, commodity=('l2', 'k2'): flow=18.9
Arc (m1_in -> dummy), t=2, commodity=('l2', 'k3'): flow=11.5
Arc (m1_in -> dummy), t=2, commodity=('l2', 'k4'): flow=1.9
Arc (m1_in -> dummy), t=2, commodity=('l2', 'k5'): flow=11.8
Arc (m2_in -> dummy), t=2, commodity=('l1', 'k3'): flow=13.6
Arc (m2_in -> dummy), t=2, commodity=('l1', 'k4'): flow=10.3
Arc (m2_in -> dummy), t=2, commodity=('l1', 'k5'): flow=9.3
Arc (m2_in -> dummy), t=2, commodity=('l2', 'k1'): flow=6.9
Arc (m2_in -> dummy), t=2, commodity=('l2', 'k3'): flow=11.3
Arc (m2_in -> dummy), t=2, commodity=('l2', 'k4'): flow=8.6
Arc (m2_in -> dummy), t=2, commodity=('l2', 'k5'): flow=12.3
Arc (m3_in -> dummy), t=2, commodity=('l1', 'k2'): flow=9.8
Arc (m3_in -> dummy), t=2, commodity=('l1', 'k5'): flow=3.2
Arc (m3_in -> dummy), t=2, commodity=('l2', 'k1'): flow=11.0
Arc (m3_in -> dummy), t=2, commodity=('l2', 'k2'): flow=14.7
Arc (m3_in -> dummy), t=2, commodity=('l2', 'k5'): flow=10.2
Arc (m4_in -> dummy), t=2, commodity=('l1', 'k2'): flow=7.6
Arc (m4_in -> dummy), t=2, commodity=('l1', 'k3'): flow=12.1
Arc (m4_in -> dummy), t=2, commodity=('l1', 'k5'): flow=8.8
Arc (m4_in -> dummy), t=2, commodity=('l2', 'k1'): flow=5.2
Arc (m4_in -> dummy), t=2, commodity=('l2', 'k2'): flow=8.9
Arc (m4_in -> dummy), t=2, commodity=('l2', 'k3'): flow=6.4
Arc (m4_in -> dummy), t=2, commodity=('l2', 'k5'): flow=12.9
Arc (m5_in -> dummy), t=2, commodity=('l2', 'k1'): flow=6.4
Arc (m5_in -> dummy), t=2, commodity=('l2', 'k2'): flow=15.0
Arc (m5_in -> dummy), t=2, commodity=('l2', 'k3'): flow=7.0
Arc (m5_in -> dummy), t=2, commodity=('l2', 'k4'): flow=13.9
Arc (m6_in -> dummy), t=2, commodity=('l1', 'k2'): flow=13.8
Arc (m6_in -> dummy), t=2, commodity=('l1', 'k3'): flow=5.4
Arc (m6_in -> dummy), t=2, commodity=('l1', 'k4'): flow=6.1
Arc (m6_in -> dummy), t=2, commodity=('l2', 'k1'): flow=14.0
Arc (m6_in -> dummy), t=2, commodity=('l2', 'k2'): flow=14.2
Arc (m6_in -> dummy), t=2, commodity=('l2', 'k3'): flow=5.2
Arc (m6_in -> dummy), t=2, commodity=('l2', 'k4'): flow=12.6
Arc (m6_in -> dummy), t=2, commodity=('l2', 'k5'): flow=8.2
Arc (m7_in -> dummy), t=2, commodity=('l1', 'k1'): flow=6.4
Arc (m7_in -> dummy), t=2, commodity=('l1', 'k3'): flow=11.3
Arc (m7_in -> dummy), t=2, commodity=('l1', 'k4'): flow=10.0
Arc (m7_in -> dummy), t=2, commodity=('l1', 'k5'): flow=10.2
Arc (m7_in -> dummy), t=2, commodity=('l2', 'k1'): flow=11.3
Arc (m7_in -> dummy), t=2, commodity=('l2', 'k2'): flow=7.3
Arc (m7_in -> dummy), t=2, commodity=('l2', 'k3'): flow=11.6
Arc (m7_in -> dummy), t=2, commodity=('l2', 'k4'): flow=10.6
Arc (m7_in -> dummy), t=2, commodity=('l2', 'k5'): flow=8.9
Arc (m8_in -> dummy), t=2, commodity=('l2', 'k1'): flow=10.3
Arc (m8_in -> dummy), t=2, commodity=('l2', 'k2'): flow=5.1
Arc (m8_in -> dummy), t=2, commodity=('l2', 'k3'): flow=12.6
Arc (m8_in -> dummy), t=2, commodity=('l2', 'k4'): flow=7.0
Arc (m8_in -> dummy), t=2, commodity=('l2', 'k5'): flow=12.4
Arc (m9_in -> dummy), t=2, commodity=('l1', 'k4'): flow=4.2
Arc (m9_in -> dummy), t=2, commodity=('l2', 'k1'): flow=10.4
Arc (m9_in -> dummy), t=2, commodity=('l2', 'k2'): flow=12.4
Arc (m9_in -> dummy), t=2, commodity=('l2', 'k3'): flow=14.4
Arc (m9_in -> dummy), t=2, commodity=('l2', 'k4'): flow=7.7
Arc (m9_in -> dummy), t=2, commodity=('l2', 'k5'): flow=5.5
Arc (m10_in -> dummy), t=2, commodity=('l1', 'k1'): flow=8.4
Arc (m10_in -> dummy), t=2, commodity=('l1', 'k2'): flow=10.3
Arc (m10_in -> dummy), t=2, commodity=('l1', 'k3'): flow=6.1
Arc (m10_in -> dummy), t=2, commodity=('l1', 'k4'): flow=9.5
Arc (m10_in -> dummy), t=2, commodity=('l2', 'k1'): flow=9.0
Arc (m10_in -> dummy), t=2, commodity=('l2', 'k2'): flow=14.1
Arc (m10_in -> dummy), t=2, commodity=('l2', 'k3'): flow=9.5
Arc (m10_in -> dummy), t=2, commodity=('l2', 'k4'): flow=5.7
Arc (m10_in -> dummy), t=2, commodity=('l2', 'k5'): flow=15.0

Positive in-to-q flows (queue entries):
Arc (m1_in -> m1_q_l2), t=1, commodity=('l1', 'k1'): flow=56.3
Arc (m1_in -> m1_q_l2), t=1, commodity=('l2', 'k1'): flow=90.8
Arc (m1_in -> m1_q_l2), t=2, commodity=('l1', 'k1'): flow=43.2
Arc (m1_in -> m1_q_l2), t=2, commodity=('l2', 'k1'): flow=9.7
Arc (m2_in -> m2_q_l2), t=1, commodity=('l1', 'k2'): flow=64.8
Arc (m2_in -> m2_q_l2), t=1, commodity=('l2', 'k2'): flow=100.0
Arc (m2_in -> m2_q_l2), t=2, commodity=('l1', 'k2'): flow=27.3
Arc (m2_in -> m2_q_l2), t=2, commodity=('l2', 'k2'): flow=7.9
Arc (m3_in -> m3_q_l2), t=1, commodity=('l1', 'k3'): flow=73.0
Arc (m3_in -> m3_q_l2), t=1, commodity=('l2', 'k3'): flow=109.1
Arc (m3_in -> m3_q_l2), t=2, commodity=('l1', 'k3'): flow=6.0
Arc (m3_in -> m3_q_l2), t=2, commodity=('l2', 'k3'): flow=11.9
Arc (m4_in -> m4_q_l2), t=1, commodity=('l1', 'k4'): flow=62.2
Arc (m4_in -> m4_q_l2), t=1, commodity=('l2', 'k4'): flow=93.4
Arc (m4_in -> m4_q_l2), t=2, commodity=('l1', 'k4'): flow=12.2
Arc (m4_in -> m4_q_l2), t=2, commodity=('l2', 'k4'): flow=32.3
Arc (m5_in -> m5_q_l1), t=1, commodity=('l1', 'k1'): flow=12.2
Arc (m5_in -> m5_q_l1), t=1, commodity=('l1', 'k2'): flow=10.4
Arc (m5_in -> m5_q_l1), t=1, commodity=('l1', 'k3'): flow=14.8
Arc (m5_in -> m5_q_l1), t=1, commodity=('l1', 'k4'): flow=12.6
Arc (m5_in -> m5_q_l1), t=2, commodity=('l1', 'k1'): flow=13.0
Arc (m5_in -> m5_q_l1), t=2, commodity=('l1', 'k2'): flow=14.2
Arc (m5_in -> m5_q_l1), t=2, commodity=('l1', 'k3'): flow=13.7
Arc (m5_in -> m5_q_l1), t=2, commodity=('l1', 'k4'): flow=9.1
Arc (m5_in -> m5_q_l2), t=1, commodity=('l1', 'k5'): flow=55.1
Arc (m5_in -> m5_q_l2), t=1, commodity=('l2', 'k5'): flow=104.4
Arc (m5_in -> m5_q_l2), t=2, commodity=('l1', 'k5'): flow=29.1
Arc (m5_in -> m5_q_l2), t=2, commodity=('l2', 'k5'): flow=11.5
Arc (m8_in -> m8_q_l1), t=1, commodity=('l1', 'k1'): flow=12.1
Arc (m8_in -> m8_q_l1), t=1, commodity=('l1', 'k2'): flow=7.1
Arc (m8_in -> m8_q_l1), t=1, commodity=('l1', 'k3'): flow=7.9
Arc (m8_in -> m8_q_l1), t=1, commodity=('l1', 'k4'): flow=13.3
